,meanUmsy,lowerCI,upperCI,U1970s,U1980s,U1990s,U2000s
E.Stuart,0.541659969,0.467810747,0.608485132,0.733814164,0.481845605,0.31407491,0.122071771
L.Stuart,0.590323201,0.489291624,0.677255422,0.816,0.795,0.629,0.467272727
Stellako,0.623295749,0.543242766,0.697267674,0.815,0.816,0.641,0.419090909
Bowron,0.608087525,0.522248619,0.686713431,0.834,0.72,0.52,0.356363636
Raft,0.571693221,0.481312753,0.647596996,0.816,0.671,0.505,0.356363636
Quesnel,0.500816495,0.362430388,0.623817277,0.81,0.794,0.617,0.382727273
Chilko,0.71101716,0.64315646,0.770144509,0.815,0.79,0.631,0.39
L.Shuswap,0.48196711,0.327284583,0.612599147,0.799,0.818,0.625,0.302222222
Birkenhead,0.714092203,0.593962579,0.801375749,0.845,0.834,0.608,0.266363636
Portage,0.653282916,0.541773957,0.744232826,0.849,0.854,0.617,0.308
Weaver,0.680923398,0.569190682,0.769140946,0.829,0.835,0.655,0.263636364
Fennell,0.751114191,0.648427574,0.825557197,0.811,0.635,0.5,0.343636364
Gates,0.532500918,0.421661251,0.627500715,0.821,0.677,0.581,0.355454545
Nadina,0.519358415,0.415572068,0.613662724,0.805714286,0.78,0.564,0.410909091
Pitt,0.626962903,0.530662945,0.706907528,0.772,0.561,0.382,0.219090909
Harrison,0.311221796,0.129391258,0.472504111,0.777,0.733,0.491,0.202727273