,meanSmsy,lowerCI,upperCI,S1970s,S1980s,S1990s,S2000s
E.Stuart,412150.4758,279117.3224,620349.084,81339.2,121071.3,155765.6,44909.54545
L.Stuart,1108273.801,854872.427,1410247.293,46306.7,116804.1,338258.4,104605.2727
Stellako,291320.6957,170838.6849,542579.6174,89999.8,108916.5,135077.9,135309.7273
Bowron,24592.08031,13480.05436,90084.61879,11012.6,5854.2,8150.3,3917.818182
Raft,20005.50895,14683.93716,37611.34393,4342.4,6416.3,8698.2,30520.90909
Quesnel,799588.1597,513364.3025,1273002.818,81529.8,424902.4,730910.3,581683.5455
Chilko,481538.2234,382926.2506,648861.1632,210280.2,248322.9,770600.1,629693.2727
L.Shuswap,1146288.036,760882.0981,1607293.618,551339,633227.7,855073.5,1838832.111
Birkenhead,95444.56431,69856.10028,164193.9249,95479.5,115841,150203.1,113759.7273
Portage,120566.1851,84391.53566,172429.7119,4839.6,7482.7,11584.3,11302.4
Weaver,505839.7832,235495.3385,1103203.74,42612.1,79485.7,49030.5,45009.72727
Fennell,7362.614987,5405.650929,12249.61221,2852.5,8348.3,12306.7,6995.454545
Gates,147867.255,98054.06611,222929.7522,4714.5,16048,23254.1,15135
Nadina,677079.7849,339094.5442,1345076.505,16354,12858.9,17286.6,20763.27273
Pitt,25300.78089,20273.91522,35782.80401,22101,18407.9,28047.4,56769.90909
Harrison,1494346.461,79074.61468,2.08067E+13,11669.6,4524.2,7933.8,239569.4545