,meanUmsy,lowerCI,upperCI,U1970s,U1980s,U1990s,U2000s
Alastair,0.480944077,0.362332829,0.585472365,0.4177,0.3875,0.478875,0.314666667
Babine-Enhanced,0.683691544,0.503503748,0.821428492,0.5913,0.5631,0.5925,0.489571429
Babine-Early-Wild,0.442652555,0.212944941,0.619850393,0.5062,0.4809,0.525,0.403571429
Babine-Mid-Wild,0.473949745,0.223203388,0.644399268,0.5667,0.5379,0.5646,0.443
Babine-Late-Wild,0.476582377,0.292507483,0.651305685,0.605,0.6083,0.6341,0.500428571
Kitsumkalum,0.490217383,0.376417895,0.594706009,0.5056,0.4793,0.543,0.36775
Lakelse,0.433581959,0.292123262,0.551941277,0.2664,0.2633,0.344666667,0.1845
Mcdonell,0.615995117,0.49874794,0.708305985,0.265166667,0.2526,NA,0.232666667
Morice,0.566309061,0.403000067,0.697697576,0.6171,0.6975,0.597833333,0.348666667
Stephens,0.746395546,0.572343186,0.860872643,0.458142857,0.433857143,0.419666667,0.344
Swan,0.501753826,0.287715531,0.668830303,0.4195,0.433857143,0.137,0.344